Rang;Terme;Score
1;traitement;0.9435422568594314
2;diagnostic;0.8743547665224527
3;syndrome néphrotique;0.8119281034298871
4;patient;0.7567394662564328
5;insuffisance rénale;0.7116216896175406
6;insuffisance rénale chronique;0.6333127035872692
7;néphropathie;0.6099941143420707
8;hypercalcémie;0.5847876077294742
9;diurétiques;0.5519478933330612
10;diurétiques de l' anse;0.5271737403177642
11;hta;0.509024033619453
12;biopsie rénale;0.500233482755729
13;causes;0.4746267184052727
14;insuffisance rénale aiguë;0.45557809166457364
15;insuffisance rénale terminale;0.45557809166457364
16;objectifs;0.42241832944962693
17;tableau 1;0.41997560070809764
18;hyperkaliémie;0.417470534131526
19;ecbu;0.4161577190136004
20;hypocalcémie;0.4026344059341634
21;néphropathies glomérulaires;0.39840337030364936
22;insuffisance cardiaque;0.3951033491754475
23;hypokaliémie;0.38635945422900586
24;protéinurie;0.3846505521733456
25;diagnostic étiologique;0.3789169347235494
26;iv;0.37581309372336397
27;proposition;0.36185893311231127
28;hypertension artérielle;0.3574792102329359
29;urines;0.3551307173680649
30;créatininémie;0.35381699579415754
31;médicaments;0.3521605179149174
32;oedèmes;0.33765354473000764
33;transplantation rénale;0.33746785193719286
34;définition;0.3254603043389265
35;pth;0.323862939755751
36;73 m2;0.3165691371162729
37;néphropathie diabétique;0.3165691371162729
38;dfg;0.30720244845641864
39;âgé;0.3041083404477368
40;calcémie;0.3040070195030082
41;lithiase urinaire;0.29553327735620083
42;signes cliniques;0.29553327735620083
43;tableau 2;0.29553327735620083
44;traitement symptomatique;0.29553327735620083
45;fonction rénale;0.2947005686404488
46;hématurie macroscopique;0.29454382657090394
47;diurétiques thiazidiques;0.29287747161941025
48;hématurie;0.28836642615415253
49;sténose de l' artère rénale;0.2849400917975047
50;maladie de goodpasture;0.27658802961027884
51;signes;0.2754900462368577
52;hyponatrémie;0.2751589140513147
53;acidose métabolique;0.2743385384895597
54;cours;0.2732034372050232
55;obstacle;0.27200042261318375
56;néphropathies vasculaires;0.27143217232134276
57;infection urinaire;0.2710109443538702
58;reins;0.26909882597632745
59;hyperuricémie;0.2588982459399233
60;hyperparathyroïdie primaire;0.2529560547071577
61;signes biologiques;0.2529560547071577
62;âge;0.2488877774685116
63;filtration glomérulaire;0.2477499320886028
64;calculs;0.24517044332519738
65;nécrose tubulaire aiguë;0.24503046106862986
66;rhabdomyolyse;0.24211911468104536
67;physiopathologie;0.24080722244722122
68;enfant;0.23917722585370046
69;diagnostic positif;0.23134662077681226
70;dialyse péritonéale;0.23134662077681226
71;pression artérielle;0.23033089293838407
72;atteinte rénale;0.23025228446134308
73;diabète de type 2;0.22857442582807097
74;mode d' action;0.2254948307222005
75;anticorps;0.22465223488439617
76;infections;0.22392278738534
77;diabète;0.22383993839142577
78;complications;0.22327444388219156
79;transplantation;0.22144950835580707
80;bloqueurs;0.22084153108
81;glomérulonéphrite rapidement progressive;0.2208349412534614
82;étiologies;0.22074151924586566
83;indications;0.2129753707698678
84;10 mmol;0.20945558152932767
85;hématurie microscopique;0.20945558152932767
86;lumière tubulaire;0.20945558152932767
87;élévation de la créatininémie;0.2093225867102555
88;échographie rénale;0.2083309863695087
89;myélome;0.20772946697765485
90;kaliémie;0.20732081568477162
91;glomérules;0.20709307690745726
92;anémie;0.206581090603382
93;hta maligne;0.2048572682015283
94;amylose;0.2045071917908739
95;anse;0.20340749447452372
96;produits de contraste iodés;0.20260348014482135
97;5 jours;0.19869210624363381
98;eau;0.19700363910841776
99;débit de filtration glomérulaire;0.19499903533594876
100;transplantation d' organes;0.19436369103064274
101;glomérulopathie extra-membraneuse;0.19317495026212333
102;examen;0.19224537916418463
103;aminoside;0.18997713248139916
104;coeur;0.18997713248139916
105;corticothérapie;0.18997713248139916
106;épidémiologie;0.18997713248139916
107;natriurèse;0.18944010597945568
108;ira;0.18902013088537895
109;créatinine;0.1883141271022345
110;dialyse;0.18824694816385448
111;cystites;0.18804390112460181
112;déshydratation extracellulaire;0.1872043574240744
113;osmolalité urinaire;0.1872043574240744
114;syndromes oedémateux;0.1872043574240744
115;alcalose métabolique;0.18630447969119235
116;récepteurs de l' angiotensine ii;0.1862615969696069
117;ph;0.186236259530462
118;glomérulaire;0.18600167799126235
119;général;0.18579141911578992
120;cellules;0.18004817113075958
121;anti-inflammatoires non stéroïdiens;0.17740246777735652
122;syndrome d' alport;0.17740246777735652
123;prise en charge thérapeutique;0.17630151586354056
124;mesures;0.17507835160008037
125;adulte;0.17377510873202764
126;urgence;0.17374908891684285
127;syndrome;0.17372112373380544
128;examen complémentaire;0.17336888897325523
129;effets secondaires;0.17228647847897427
130;suivi;0.17202809549572085
131;atpase;0.17170989878932558
132;hypernatrémie;0.17170989878932558
133;pathologies;0.17170989878932558
134;polydipsique;0.17170989878932558
135;pratique;0.17167758149090512
136;néphropathie à iga;0.17147464809344973
137;dosage;0.17141887881558743
138;aldostérone;0.1713799886625557
139;ara2;0.17121447507365625
140;hypovolémie;0.17115922082142218
141;potassium;0.1710176832690855
142;natrémie;0.1710011221105746
143;calcium;0.17051958249953106
144;objectif tensionnel;0.16990544734609403
145;tube distal;0.16990544734609403
146;angiotensine;0.1685574625201594
147;maladie rénale chronique;0.16847823706032938
148;emboles de cristaux de cholestérol;0.16749327635172337
149;hypoalbuminémie;0.16659994431770767
150;7 jours;0.16447570457505953
151;apports sodés;0.16447570457505953
152;compartiment intracellulaire;0.16447570457505953
153;donneur décédé;0.16447570457505953
154;présentation clinique;0.16447570457505953
155;restriction hydrique;0.16447570457505953
156;tableau 4;0.16447570457505953
157;tableau 5;0.16447570457505953
158;tableau clinique;0.16447570457505953
159;traitement immunosuppresseur;0.16447570457505953
